iter	Passed	Remaining
472	1271	1416
473	1273	1413
474	1275	1409
475	1278	1407
476	1281	1404
477	1283	1401
478	1285	1398
479	1287	1394
480	1289	1391
481	1292	1388
482	1294	1385
483	1297	1382
484	1299	1379
485	1300	1375
486	1302	1372
487	1305	1369
488	1307	1366
489	1310	1363
490	1311	1360
491	1313	1356
492	1316	1353
493	1318	1350
494	1321	1348
495	1324	1345
496	1326	1342
497	1328	1339
498	1331	1336
499	1333	1333
500	1336	1331
501	1338	1327
502	1340	1324
503	1342	1321
504	1345	1318
505	1347	1315
506	1349	1312
507	1352	1309
508	1355	1307
509	1357	1304
510	1359	1301
511	1362	1298
512	1364	1295
513	1366	1292
514	1368	1289
515	1370	1285
516	1372	1282
517	1374	1279
518	1377	1276
519	1379	1273
520	1381	1269
521	1383	1266
522	1385	1263
523	1387	1260
524	1389	1257
525	1391	1254
526	1394	1251
527	1396	1248
528	1398	1245
529	1400	1242
530	1402	1238
531	1404	1235
532	1406	1232
533	1409	1229
534	1411	1226
535	1413	1223
536	1415	1220
537	1417	1217
538	1419	1214
539	1421	1211
540	1423	1208
541	1426	1205
542	1428	1202
543	1431	1199
544	1434	1197
545	1436	1194
546	1439	1191
547	1441	1188
548	1443	1185
549	1445	1182
550	1447	1179
551	1450	1176
552	1452	1173
553	1458	1173
554	1460	1171
555	1463	1168
556	1465	1165
557	1467	1162
558	1469	1159
559	1472	1157
560	1474	1154
561	1477	1151
562	1479	1148
563	1481	1145
564	1484	1142
565	1486	1140
566	1489	1137
567	1491	1134
568	1493	1131
569	1495	1128
570	1498	1125
571	1501	1123
572	1503	1120
573	1505	1117
574	1508	1114
575	1510	1111
576	1512	1108
577	1515	1106
578	1516	1102
579	1518	1099
580	1520	1096
581	1522	1093
582	1524	1090
583	1527	1087
584	1529	1084
585	1531	1081
586	1533	1078
587	1535	1075
588	1537	1072
589	1539	1069
590	1541	1066
591	1543	1063
592	1545	1060
593	1547	1057
594	1549	1054
595	1551	1051
596	1553	1048
597	1555	1045
598	1559	1043
599	1561	1041
600	1563	1038
601	1566	1035
602	1568	1032
603	1571	1030
604	1574	1027
605	1576	1024
606	1578	1022
607	1580	1019
608	1582	1016
609	1585	1013
610	1587	1010
611	1589	1007
612	1591	1004
613	1593	1001
614	1595	998
615	1597	995
616	1599	993
617	1602	990
618	1604	987
619	1606	984
620	1608	981
621	1610	978
622	1612	976
623	1614	973
624	1617	970
625	1619	967
626	1621	964
627	1623	961
628	1625	958
629	1627	955
630	1629	952
631	1631	950
632	1633	947
633	1635	944
634	1637	941
635	1639	938
636	1642	935
637	1644	932
638	1646	930
639	1648	927
640	1650	924
641	1652	921
642	1654	918
643	1656	915
644	1658	912
645	1661	910
646	1663	907
647	1665	904
648	1668	902
649	1670	899
650	1671	896
651	1673	893
652	1676	890
653	1678	888
654	1681	885
655	1683	882
656	1686	880
657	1688	877
658	1691	875
659	1693	872
660	1695	869
661	1697	866
662	1699	863
663	1701	860
664	1703	858
665	1705	855
666	1707	852
667	1710	850
668	1714	848
669	1715	845
670	1717	842
671	1720	839
672	1722	836
673	1725	834
674	1727	831
675	1731	829
676	1736	828
677	1740	826
678	1745	825
679	1749	823
680	1753	821
681	1756	819
682	1759	816
683	1763	814
684	1766	812
685	1768	809
686	1771	806
687	1773	804
688	1775	801
689	1778	799
690	1780	796
691	1782	793
692	1785	790
693	1787	788
694	1789	785
695	1791	782
696	1793	779
697	1796	777
698	1798	774
699	1800	771
700	1803	769
701	1804	766
702	1807	763
703	1809	760
704	1811	757
705	1813	755
706	1815	752
707	1817	749
708	1819	746
709	1822	744
710	1823	741
711	1825	738
712	1827	735
713	1829	732
714	1831	730
715	1833	727
716	1835	724
717	1838	722
718	1840	719
719	1843	716
720	1845	714
721	1847	711
722	1849	708
723	1851	705
724	1853	703
725	1855	700
726	1857	697
727	1859	694
728	1861	691
729	1863	689
730	1865	686
731	1867	683
732	1870	681
733	1872	678
734	1874	675
735	1875	672
736	1877	669
737	1879	667
738	1881	664
739	1884	662
740	1887	659
741	1889	657
742	1892	654
743	1894	651
744	1897	649
745	1899	646
746	1901	644
747	1903	641
748	1906	638
749	1909	636
750	1912	634
751	1914	631
752	1919	629
753	1921	626
754	1926	625
755	1928	622
756	1931	620
757	1934	617
758	1936	614
759	1939	612
760	1943	610
761	1946	607
762	1948	605
763	1951	602
764	1954	600
765	1957	598
766	1960	595
767	1962	592
768	1965	590
769	1967	587
770	1970	585
771	1973	582
772	1975	580
773	1978	577
774	1982	575
775	1985	573
776	1987	570
777	1990	567
778	1992	565
779	1995	562
780	1998	560
781	2000	557
782	2003	555
783	2005	552
784	2008	550
785	2011	547
786	2014	545
787	2017	542
788	2020	540
789	2022	537
790	2024	535
791	2028	532
792	2030	529
793	2032	527
794	2036	525
795	2039	522
796	2042	520
797	2045	517
798	2049	515
799	2051	512
800	2053	510
801	2055	507
802	2057	504
803	2060	502
804	2062	499
805	2064	496
806	2066	494
807	2069	491
808	2071	489
809	2074	486
810	2076	483
811	2079	481
812	2081	478
813	2083	476
814	2086	473
815	2088	470
816	2091	468
817	2095	466
818	2097	463
819	2099	460
820	2102	458
821	2105	455
822	2107	453
823	2110	450
824	2114	448
825	2117	446
826	2121	443
827	2124	441
828	2128	439
829	2132	436
830	2135	434
831	2137	431
832	2139	428
833	2142	426
834	2145	424
835	2149	421
836	2151	418
837	2153	416
838	2156	413
839	2158	411
840	2166	409
841	2169	407
842	2172	404
843	2174	401
844	2177	399
845	2179	396
846	2182	394
847	2185	391
848	2187	389
849	2189	386
850	2192	383
851	2196	381
852	2199	379
853	2202	376
854	2205	374
855	2209	371
856	2216	369
857	2219	367
858	2224	365
859	2227	362
860	2230	360
861	2232	357
862	2234	354
863	2237	352
864	2239	349
865	2242	346
866	2245	344
867	2247	341
868	2250	339
869	2252	336
870	2254	333
871	2257	331
872	2259	328
873	2262	326
874	2264	323
875	2267	320
876	2269	318
877	2271	315
878	2274	313
879	2277	310
880	2280	307
881	2282	305
882	2284	302
883	2286	300
884	2288	297
885	2291	294
886	2293	292
887	2295	289
888	2297	286
889	2300	284
890	2303	281
891	2306	279
892	2309	276
893	2311	274
894	2314	271
895	2316	268
896	2318	266
897	2321	263
898	2324	261
899	2326	258
900	2328	255
901	2331	253
902	2334	250
903	2336	248
904	2339	245
905	2341	242
906	2344	240
907	2346	237
908	2349	235
909	2352	232
910	2355	230
911	2359	227
912	2362	225
913	2365	222
914	2369	220
915	2372	217
916	2374	214
917	2377	212
918	2379	209
919	2383	207
920	2385	204
921	2388	202
922	2390	199
923	2392	196
924	2396	194
925	2398	191
926	2401	189
927	2403	186
928	2405	183
929	2407	181
930	2409	178
931	2412	175
932	2414	173
933	2416	170
934	2418	168
935	2420	165
936	2422	162
937	2425	160
938	2427	157
939	2429	155
940	2431	152
941	2433	149
942	2435	147
943	2437	144
944	2439	142
945	2441	139
946	2443	136
947	2445	134
948	2447	131
949	2449	128
950	2452	126
951	2454	123
952	2456	121
953	2458	118
954	2461	115
955	2463	113
956	2465	110
957	2467	108
958	2470	105
959	2472	103
960	2474	100
961	2476	97
962	2478	95
963	2480	92
964	2484	90
965	2492	87
966	2497	85
967	2500	82
968	2503	80
969	2505	77
970	2508	74
971	2511	72
972	2514	69
973	2516	67
974	2518	64
975	2521	62
976	2523	59
977	2529	56
978	2532	54
979	2534	51
980	2536	49
981	2538	46
982	2548	44
983	2550	41
984	2552	38
985	2556	36
986	2561	33
987	2582	31
988	2585	28
989	2599	26
990	2604	23
991	2606	21
992	2627	18
993	2631	15
994	2736	13
995	2740	11
996	2749	8
997	2752	5
998	2755	2
999	2766	0
